Region,Country,Site ID,Model,City,Location,WAN Prefix,Jira/Confluence name,ISP,ISPCkt ID,BW (Mb/s),MPLS provider,MPLSCkt ID,Rate,License Tier,EA,WAN2.0Installed by,SD-WAN migration,#Routers,RoutersSysIPs,Platform end of 2020,Stage 2/3Status,Comments,latitude,longitude,geohash
SAM,Argentina,405405401,Sales-Mini,Buenos Aires,"Axis Communications De Argentina S.A., Calle Olga Cossettini Nº 1545 y 1553, Edificio Costeros, Puerto Madero, 4° Piso Norte, Buenos Aires, CABA, Argentina",ar,AR-Buenos Aires,,,40,,,,1.0,P,Kenneth H,Hot swap,1.0,40.0.54.1,ISR4331,DONE,,-34.6075682,-58.4370894,69y7n
EUR,Sweden,101004601,Headquarters,Lund,Axis Communications AB:Emdalavagen 14:SE-223 69:Lund:Sweden,se,SE-Lund,AT&T,,1000,AT&T,IUYF.105345..ATI,100.0,2.0,X CH,,Bootstrap,2.0,10.0.46.110.0.46.2,ISR4431,DONE,,55.7029296,13.1929449,u3cku
EUR,Sweden,104404602,Sales-Ordinary,Linköping,Axis Communications AB:Kunskapslanken 36:58328 Linkoping,seli,SELI-Linköping,,,1000,,,,2.0,X,Stefan N,Hot swap,2.0,10.0.46.310.0.46.4,ISR4331,DONE,,58.4098135,15.6245252,u67h7
EUR,Sweden,104404603,Sales-Ordinary,Linköping,Axis Communications AB:Ebbepark 9:58212:Linköping:Sweden,seli,SELI-Linköping,,,1000,,,,2.0,P,,Bootstrap,2.0,10.0.46.510.0.46.6,ISR4331,DONE,,58.4098135,15.6245252,u67h7
EUR,Sweden,104404699,Pilot,Lund,Axis Communications AB:Emdalavagen 14:SE-223 69:Lund:Sweden,sepi,SEPI-Pilot,,,100,,,,1.0,X,Agustin L,Bootstrap,2.0,10.0.46.9910.0.46.100,ISR4331,DONE,,55.7029296,13.1929449,u3cku
EUR,France,104403301,Sales-Ordinary,Paris,Axis Communications SA:Antony Parc I:2 a 6 Place du General de Gaulle:92160 Antony:France,fr,FR-Paris,,,200,,,,1.0,X,Glenn A,Hot swap,2.0,10.0.33.110.0.33.2,ISR4331,DONE,,48.8588897,2.3200410217200766,u09tu
EUR,Czech Republic,104442002,Sales-Ordinary,Prague-2N,"2N TELEKOMUNIKACE a.s. Modranska 621, 143 01 Praha 4, Czech Republic",2n,CZ2N-2N,,,300 (T),,,,2.0,X,,Hot swap,2.0,10.4.20.310.4.20.4,ISR4331,DONE,,50.0596288,14.446459273258007,u2fkb
EUR,Germany,104404901,Sales-Ordinary,Munich,Axis Communications GmbH:AdalperostraBe 86:85737 Ismaning:Germany,de,DE-Munich,,,100,,,,1.0,X,,ZTP,2.0,10.0.49.110.0.49.2,ISR4351,DONE,,48.1371079,11.5753822,u281z
EUR,United Kingdom,104404401,Sales-Ordinary,Luton,Axis Communications (UK) Ltd:First Floor:One Capability Green:Luton LU1 3LU:England,uk,UK-Luton,,,100,,,,1.0,X,Stefan N,ZTP,2.0,10.0.44.110.0.44.2,ISR4331,DONE,,51.8784385,-0.4152837,gcpxn
EUR,Netherlands,104403101,Sales-Ordinary,Rotterdam,Axis Communications BV:Riviumboulevard 301: gebouw oost: 3e etage:2909LK Capelle aan den Ijssel: Netherlands,nl,NL-Rotterdam,,,50,,,,1.0,X,Stefan N,Bootstrap,2.0,10.0.31.110.0.31.2,ISR4331,DONE,,51.9244424,4.47775,u15pm
EUR,Spain,104403401,Sales-Ordinary,Madrid,Axernet Communications SA:C/ Yunque 9 - 1A:28760 Tres Cantos:Madrid:Spain,es,ES-Madrid,,,100,,,,1.0,X,,ZTP,2.0,10.0.34.110.0.34.2,ISR4331,DONE,,40.4167047,-3.7035825,ezjmg
EUR,Italy,105403901,Sales-Mini,Milano,"Axis Communications S.r.I.: Centro Direzionale Milanofiori Nord: Via del Mulino 1 - Edificio U10: 20090 Assago (MI), Italia",it,IT-Milano,,,200,,,,1.0,X,,Bootstrap,1.0,10.0.39.1,ISR4331,DONE,,45.4641943,9.1896346,u0nd9
EUR,Czech Republic,105442001,Sales-Mini,Prague,Axis Communications s.r.o.:Building D:Bucharova 1314/8:158 00 Praha 13:Czech Republic,cz,CZ-Prague,,,10,,,,1.0,X,,Bootstrap,1.0,10.4.20.1,ISR4331,DONE,,50.0596288,14.446459273258007,u2fkb
EUR,Poland,105404801,Sales-Mini,Warsaw,Axis Communications Poland Sp. z o.o.:Domaniewska 44:02-672 Warsaw:Poland,plwa,PLWA-Warsaw,,,10,,,,1.0,X,Stefan N,Bootstrap,1.0,10.0.48.1,ISR4331,DONE,,52.2319581,21.0067249,u3qcn
EUR,Turkey,105409001,Sales-Mini,Istanbul,Nidakule Atasehir Kuzey Barbaros Mahallesi Begonya Sokak No:3 Kat:17 Ofis No:160 34746 Atasehir - Istanbul,tr,TR-Istanbul,,,10,,,,1.0,X,Joel C,Bootstrap,1.0,10.0.90.1,ISR4331,DONE,,41.0096334,28.9651646,sxk97
EUR,Russia,104400701,Sales-Ordinary,Moscow,Axis Communications OOO:Leningradsky avenue 31A - Bldg. 1 - 16th floor:125284 Moscow:Russia,ru,RU-Moscow,,,100,,,,1.0,P,,Bootstrap,2.0,10.0.7.110.0.7.2,ISR4331,DONE,,55.7504461,37.6174943,ucfv0
EUR,UAE,104497101,Sales-Ordinary,Dubai,"Axis Communications AB,Dubai Airport Free Zone (DAFZA),Building WA5, Office # 301,PO BOX: 293637",ae,AE-Dubai,,,10,,,,1.0,X,Agustin L,Bootstrap,2.0,10.9.71.110.9.71.2,ISR4331,DONE,Separate internet access via cable service.,25.2653471,55.2924914,thrrd
